data/10000000.txt,10000000,3,112.5229
data/1000000.txt,1000000,3,6.4518
data/100000.txt,100000,3,0.4812
data/10000.txt,10000,3,0.0354
data/1000.txt,1000,3,0.0053
data/10000000.txt,10000000,4,110.7594
data/1000000.txt,1000000,4,6.1107
data/100000.txt,100000,4,0.4646
data/10000.txt,10000,4,0.0366
data/1000.txt,1000,4,0.0039
data/10000000.txt,10000000,5,110.1773
data/1000000.txt,1000000,5,6.1033
data/100000.txt,100000,5,0.4202
data/10000.txt,10000,5,0.0334
data/1000.txt,1000,5,0.0037
data/10000000.txt,10000000,7,113.6368
data/1000000.txt,1000000,7,6.0355
data/100000.txt,100000,7,0.4572
data/10000.txt,10000,7,0.0345
data/1000.txt,1000,7,0.0038
data/10000000.txt,10000000,9,110.8934
data/1000000.txt,1000000,9,6.0086
data/100000.txt,100000,9,0.4777
data/10000.txt,10000,9,0.0343
data/1000.txt,1000,9,0.0052
data/10000000.txt,10000000,11,110.0232
data/1000000.txt,1000000,11,6.1652
data/100000.txt,100000,11,0.4618
data/10000.txt,10000,11,0.0364
data/1000.txt,1000,11,0.0038
data/10000000.txt,10000000,6,110.5671
data/1000000.txt,1000000,6,6.1282
data/100000.txt,100000,6,0.5140
data/10000.txt,10000,6,0.0329
data/1000.txt,1000,6,0.0025
data/10000000.txt,10000000,25,111.8011
data/1000000.txt,1000000,25,6.2471
data/100000.txt,100000,25,0.4974
data/10000.txt,10000,25,0.0386
data/1000.txt,1000,25,0.0041
data/10000000.txt,10000000,26,115.0449
data/1000000.txt,1000000,26,6.2230
data/100000.txt,100000,26,0.5050
data/10000.txt,10000,26,0.0347
data/1000.txt,1000,26,0.0040
